Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,Dist,PK,PKatt,Season,Team
2022-09-07,21:00,Champions Lg,Group stage,Wed,Home,W,5,1,cz Viktoria Plzeň,2.3,0.8,76.0,77411.0,Sergi Roberto,4-3-3,Lawrence Visser,Match Report,,20.0,10.0,16.2,0.0,0.0,2023,Barcelona
2022-09-13,21:00,Champions Lg,Group stage,Tue,Away,L,0,2,de Bayern Munich,2.0,1.7,53.0,75000.0,Sergio Busquets,4-3-3,Danny Makkelie,Match Report,,18.0,4.0,16.1,0.0,0.0,2023,Barcelona
2022-10-04,21:00,Champions Lg,Group stage,Tue,Away,L,0,1,it Inter,0.5,0.2,71.0,71368.0,Sergio Busquets,4-3-3,Slavko Vinčič,Match Report,,7.0,2.0,14.5,0.0,0.0,2023,Barcelona
2022-10-12,21:00,Champions Lg,Group stage,Wed,Home,D,3,3,it Inter,2.2,2.0,61.0,92302.0,Sergio Busquets,4-3-3,Szymon Marciniak,Match Report,,25.0,10.0,16.8,0.0,0.0,2023,Barcelona
2022-10-26,21:00,Champions Lg,Group stage,Wed,Home,L,0,3,de Bayern Munich,0.7,2.1,52.0,84016.0,Sergio Busquets,4-3-3,Anthony Taylor,Match Report,,9.0,0.0,21.2,0.0,0.0,2023,Barcelona
2022-11-01,21:00,Champions Lg,Group stage,Tue,Away,W,4,2,cz Viktoria Plzeň,2.3,2.6,76.0,11258.0,Gerard Piqué,4-3-3,Radu Petrescu,Match Report,,11.0,7.0,16.2,0.0,0.0,2023,Barcelona
2022-09-06,20:00,Champions Lg,Group stage,Tue,Away,W,3,0,sct Celtic,1.9,1.4,64.0,57057.0,Karim Benzema,4-3-3,Sandro Schärer,Match Report,,12.0,6.0,16.0,0.0,0.0,2023,Real Madrid
2022-09-14,21:00,Champions Lg,Group stage,Wed,Home,W,2,0,de RB Leipzig,0.9,0.7,52.0,54289.0,Nacho,4-3-3,Maurizio Mariani,Match Report,,12.0,3.0,17.1,0.0,0.0,2023,Real Madrid
2022-10-05,21:00,Champions Lg,Group stage,Wed,Home,W,2,1,ua Shakhtar,3.4,0.8,59.0,56011.0,Karim Benzema,4-3-3,Ivan Kružliak,Match Report,,36.0,13.0,16.9,0.0,0.0,2023,Real Madrid
2022-10-11,22:00,Champions Lg,Group stage,Tue,Away,D,1,1,ua Shakhtar,1.1,0.5,58.0,29030.0,Karim Benzema,4-2-3-1,Orel Grinfeeld,Match Report,,17.0,5.0,19.6,0.0,0.0,2023,Real Madrid
2022-10-25,21:00,Champions Lg,Group stage,Tue,Away,L,2,3,de RB Leipzig,2.1,2.2,56.0,45228.0,Nacho,4-2-3-1,Daniele Orsato,Match Report,,11.0,5.0,19.3,1.0,1.0,2023,Real Madrid
2022-11-02,18:45,Champions Lg,Group stage,Wed,Home,W,5,1,sct Celtic,3.8,2.1,64.0,52511.0,Luka Modrić,4-3-3,Stéphanie Frappart,Match Report,,23.0,7.0,16.4,2.0,2.0,2023,Real Madrid
