Unnamed: 0,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,home_elo,away_elo
0,2022-09-06,Sevilla,Manchester City,0.0,4.0,A,1477.16,1522.84
1,2022-09-14,Manchester City,Dortmund,2.0,1.0,H,1538.72,1484.12
2,2022-10-05,Manchester City,FC Copenhagen,5.0,0.0,H,1553.72,1485.0
3,2022-10-11,FC Copenhagen,Manchester City,0.0,0.0,D,1486.08,1552.64
4,2022-10-25,Dortmund,Manchester City,0.0,0.0,D,1485.2,1551.56
5,2022-11-02,Manchester City,Sevilla,3.0,1.0,H,1564.68,1464.04
6,2023-02-22,RB Leipzig,Manchester City,1.0,1.0,D,1500.84,1563.84
7,2023-03-14,Manchester City,RB Leipzig,7.0,0.0,H,1577.56,1487.12
8,2023-04-11,Manchester City,Bayern Munich,3.0,0.0,H,1590.52,1487.04
9,2023-04-19,Bayern Munich,Manchester City,1.0,1.0,D,1490.08,1587.48
10,2023-05-09,Real Madrid,Manchester City,1.0,1.0,D,1502.16,1585.32
11,2023-05-17,Manchester City,Real Madrid,4.0,0.0,H,1598.0,1489.48
13,2022-09-07,Napoli,Liverpool,4.0,1.0,H,1517.16,1482.84
14,2022-09-13,Liverpool,Ajax,2.0,1.0,H,1500.96,1481.88
15,2022-10-04,Liverpool,Rangers,2.0,0.0,H,1518.04,1482.92
16,2022-10-12,Rangers,Liverpool,1.0,7.0,A,1462.08,1538.88
17,2022-10-26,Ajax,Liverpool,0.0,3.0,A,1462.28,1558.48
18,2022-11-01,Liverpool,Napoli,2.0,0.0,H,1573.36,1502.28
19,2023-02-21,Liverpool,Real Madrid,2.0,5.0,A,1546.0,1516.84
20,2023-03-15,Real Madrid,Liverpool,1.0,0.0,H,1535.64,1527.2
21,2022-09-07,Tottenham Hotspur,Marseille,2.0,0.0,H,1517.16,1482.84
22,2022-09-13,Sporting CP,Tottenham Hotspur,2.0,0.0,H,1518.12,1499.04
23,2022-10-04,Eint Frankfurt,Tottenham Hotspur,0.0,0.0,D,1497.08,1501.96
24,2022-10-12,Tottenham Hotspur,Eint Frankfurt,3.0,2.0,H,1518.84,1480.2
25,2022-10-26,Tottenham Hotspur,Sporting CP,1.0,1.0,D,1515.96,1521.0
26,2022-11-01,Marseille,Tottenham Hotspur,1.0,2.0,A,1461.88,1536.92
27,2023-02-14,Milan,Tottenham Hotspur,1.0,0.0,H,1519.24,1517.68
28,2023-03-08,Tottenham Hotspur,Milan,0.0,0.0,D,1514.92,1522.0
29,2022-09-06,Dinamo Zagreb,Chelsea,1.0,0.0,H,1517.16,1482.84
30,2022-09-14,Chelsea,RB Salzburg,1.0,1.0,D,1480.96,1501.88
31,2022-10-05,Chelsea,Milan,3.0,0.0,H,1500.44,1502.52
32,2022-10-11,Milan,Chelsea,0.0,2.0,A,1479.56,1523.4
33,2022-10-25,RB Salzburg,Chelsea,1.0,2.0,A,1480.24,1545.04
34,2022-11-02,Chelsea,Dinamo Zagreb,2.0,1.0,H,1560.64,1501.56
35,2023-02-15,Dortmund,Chelsea,1.0,0.0,H,1506.68,1539.16
36,2023-03-07,Chelsea,Dortmund,2.0,0.0,H,1554.48,1491.36
37,2023-04-12,Real Madrid,Chelsea,2.0,0.0,H,1553.84,1536.28
38,2023-04-18,Chelsea,Real Madrid,0.0,2.0,A,1514.4,1575.72
39,2021-09-15,Manchester City,RB Leipzig,6.0,3.0,H,1609.36,1475.76
40,2021-09-28,Paris Saint Germain,Manchester City,2.0,0.0,H,1523.4,1585.96
